Type,Trans Date,Post Date,Description,Amount,Category,Memo
Sale,12/30/16,1/1/17,SPEEDWAY 03574 275,-1.58,null,null
Sale,12/30/16,1/1/17,THE HOME DEPOT #2748,-45.96,null,null
Sale,12/30/16,1/2/17,GAP ONLINE,-19.07,null,null
Sale,12/30/16,1/1/17,ADVANCE AUTO PARTS #8918,-33.9,null,null
Sale,12/30/16,1/1/17,TARGET        00028183,-71.82,null,null
Sale,12/30/16,1/2/17,GAP ONLINE,-206.12,null,null
Sale,12/30/16,1/2/17,GAP ONLINE,-19.07,null,null
Sale,12/30/16,1/2/17,GAP ONLINE,-25.43,null,null
Sale,12/30/16,1/1/17,OLIVE GARDEN  00015776,-27.49,null,null
Sale,12/29/16,1/1/17,HUNGRY HOWIE'S #1075,-2.89,null,null
Sale,12/29/16,12/30/16,SPEEDWAY 03574 275,-1.58,null,null
Sale,12/29/16,12/30/16,SPEEDWAY 03574 275,-24.91,null,null
Sale,12/28/16,12/29/16,AUTO OWNERS INSURANCE CO,-11.62,null,null
Sale,12/27/16,12/28/16,FAMILY FARE 0339,-35.29,null,null
Sale,12/27/16,12/28/16,SPEEDWAY 03574 275,-32.16,null,null
Sale,12/27/16,12/29/16,JIMMY JOHNS 684 - E-CO,-10.46,null,null
Sale,12/27/16,12/28/16,J CREW RETAIL #587,-42.38,null,null
Sale,12/27/16,12/30/16,A EAGLE OUTFTR00006593,-58.09,null,null
Sale,12/27/16,12/28/16,SPEEDWAY 03574 275,-1.58,null,null
Sale,12/27/16,12/29/16,BARNES &amp; NOBLE 2356,-17.97,null,null
Sale,12/26/16,12/28/16,MCDONALD'S M4848 OF MI,-7.08,null,null
Sale,12/26/16,12/28/16,FULL CITY CAFE,-47.98,null,null
Sale,12/26/16,12/27/16,FAMILY FARE 0339,-14.47,null,null
Sale,12/23/16,12/25/16,AMWAY GRAND PLZ HTL F,-8.0,null,null
Sale,12/23/16,12/25/16,RUTH'SCHRISGRANDRAPIDS,-106.16,null,null
Sale,12/23/16,12/25/16,WATER STREET COFFEE JO,-50.95,null,null
Sale,12/23/16,12/25/16,SPEEDWAY 03574 275,-1.86,null,null
Sale,12/22/16,12/23/16,FIELDS FABRICS,-17.25,null,null
Sale,12/22/16,12/23/16,PEPPERMILL CAFE,-14.13,null,null
Sale,12/22/16,12/23/16,SPEEDWAY 03574 275,-7.09,null,null
Sale,12/21/16,12/22/16,O TOOLES PUBLIC HO,-28.59,null,null
Payment,12/20/16,12/20/16,Payment Thank You-Mobile,452.32,null,null
Sale,12/19/16,12/20/16,SPEEDWAY 03574 275,-1.58,null,null
Sale,12/19/16,12/20/16,FMLY FARE QUICK STOP #771,-24.44,null,null
Sale,12/19/16,12/20/16,FMLY FARE QUICK STOP #771,-22.41,null,null
Sale,12/18/16,12/20/16,MCDONALD'S M6324 OF MI,-2.53,null,null
Sale,12/18/16,12/19/16,MEIJER #216        Q01,-39.97,null,null
Sale,12/18/16,12/20/16,BIGGBY COFFEE #265,-7.61,null,null
Sale,12/17/16,12/18/16,FAMILY FARE 0339,-116.38,null,null
Sale,12/17/16,12/18/16,TM *GRAND RAPIDS SYMPH,-184.25,null,null
Sale,12/17/16,12/18/16,EVENT TICKET INSURANCE,-13.98,null,null
Sale,12/17/16,12/18/16,SPEEDWAY 03574 275,-1.86,null,null
Sale,12/16/16,12/18/16,JIA YAUN,-27.44,null,null
Sale,12/16/16,12/18/16,DOLLARTREE,-2.0,null,null
Sale,12/16/16,12/16/16,WILLIAMS-SONOMA E-COMM,-40.13,null,null
Payment,12/15/16,12/15/16,Payment Thank You-Mobile,4076.36,null,null
Sale,12/14/16,12/16/16,OLIVE GARDEN  00010884,-6.33,null,null
Sale,12/14/16,12/15/16,KOHL'S #0014,-18.02,null,null
Sale,12/14/16,12/15/16,SQ *BETTER WAY IMPORTS GO,-1.96,null,null
Sale,12/12/16,12/13/16,FMLY FARE QUICK STOP #771,-23.92,null,null
Payment,12/12/16,12/12/16,Payment Thank You-Mobile,2385.94,null,null
Sale,12/12/16,12/14/16,GVSU WEBSITE,-3896.0,null,null
Sale,12/11/16,12/12/16,SPEEDWAY 03574 275,-1.86,null,null
Sale,12/11/16,12/13/16,MEIJER #216        Q01,-14.52,null,null
Sale,12/11/16,12/13/16,ADVANCE AUTO PARTS #8918,-117.06,null,null
Sale,12/10/16,12/12/16,WHOLEFDS EVN 10076,-12.75,null,null
Sale,12/10/16,12/11/16,FAMILY FARE 0339,-95.45,null,null
Sale,12/10/16,12/11/16,APL*APPLE ONLINE STORE,-1885.74,null,null
Sale,12/10/16,12/12/16,MCDONALD'S F29828,-10.25,null,null
Sale,12/10/16,12/11/16,COMCAST,-49.99,null,null
Sale,12/9/16,12/11/16,FAST STOP PENNZOIL 10 MIN,-49.71,null,null
Sale,12/9/16,12/11/16,SPEEDWAY 03574 275,-31.44,null,null
Sale,12/9/16,12/11/16,RIVERBEND AUTOMOTIVE,-244.86,null,null
Sale,12/9/16,12/11/16,JIMMY JOHNS 684 - E-CO,-9.88,null,null
Sale,12/9/16,12/11/16,SPEEDWAY 03574 275,-1.58,null,null
